date,open,high,low,close,volume,oi,source
2026-04-01T09:31:00+05:30,25.0,25.0,25.0,25.0,0,0,real
2026-04-01T09:32:00+05:30,25.05,25.05,25.05,25.05,0,0,real
2026-04-01T09:33:00+05:30,25.1,25.1,25.1,25.1,0,0,real
2026-04-01T09:34:00+05:30,25.16,25.16,25.16,25.16,0,0,real
2026-04-01T09:35:00+05:30,25.25,25.25,25.25,25.25,0,0,real
2026-04-01T09:36:00+05:30,25.29,25.29,25.29,25.29,0,0,real
2026-04-01T09:37:00+05:30,25.32,25.32,25.32,25.32,0,0,real
2026-04-01T09:38:00+05:30,25.23,25.23,25.23,25.23,0,0,real
2026-04-01T09:39:00+05:30,25.23,25.23,25.23,25.23,0,0,real
2026-04-01T09:40:00+05:30,25.17,25.17,25.17,25.17,0,0,real
2026-04-01T09:41:00+05:30,25.11,25.11,25.11,25.11,0,0,real
2026-04-01T09:43:00+05:30,25.13,25.13,25.13,25.13,0,0,real
2026-04-01T09:44:00+05:30,25.14,25.14,25.14,25.14,0,0,real
2026-04-01T09:45:00+05:30,25.13,25.13,25.13,25.13,0,0,real
2026-04-01T09:46:00+05:30,25.17,25.17,25.17,25.17,0,0,real
2026-04-01T09:47:00+05:30,25.17,25.17,25.17,25.17,0,0,real
2026-04-01T09:48:00+05:30,25.14,25.14,25.14,25.14,0,0,real
2026-04-01T09:49:00+05:30,25.06,25.06,25.06,25.06,0,0,real
2026-04-01T09:50:00+05:30,25.06,25.06,25.06,25.06,0,0,real
2026-04-01T09:51:00+05:30,25.05,25.05,25.05,25.05,0,0,real
2026-04-01T09:52:00+05:30,25.02,25.02,25.02,25.02,0,0,real
2026-04-01T09:53:00+05:30,25.08,25.08,25.08,25.08,0,0,real
2026-04-01T09:54:00+05:30,25.06,25.06,25.06,25.06,0,0,real
2026-04-01T09:55:00+05:30,25.08,25.08,25.08,25.08,0,0,real
2026-04-01T09:56:00+05:30,25.08,25.08,25.08,25.08,0,0,real
2026-04-01T09:57:00+05:30,25.07,25.07,25.07,25.07,0,0,real
2026-04-01T09:58:00+05:30,25.08,25.08,25.08,25.08,0,0,real
2026-04-01T09:59:00+05:30,25.08,25.08,25.08,25.08,0,0,real
2026-04-01T10:00:00+05:30,24.99,24.99,24.99,24.99,0,0,real
2026-04-01T10:01:00+05:30,25.0,25.0,25.0,25.0,0,0,real
2026-04-01T10:02:00+05:30,24.99,24.99,24.99,24.99,0,0,real
2026-04-01T10:03:00+05:30,24.94,24.94,24.94,24.94,0,0,real
2026-04-01T10:04:00+05:30,25.16,25.16,25.16,25.16,0,0,real
2026-04-01T10:05:00+05:30,25.21,25.21,25.21,25.21,0,0,real
2026-04-01T10:06:00+05:30,25.28,25.28,25.28,25.28,0,0,real
2026-04-01T10:07:00+05:30,25.29,25.29,25.29,25.29,0,0,real
2026-04-01T10:08:00+05:30,25.29,25.29,25.29,25.29,0,0,real
2026-04-01T10:09:00+05:30,25.26,25.26,25.26,25.26,0,0,real
2026-04-01T10:10:00+05:30,25.34,25.34,25.34,25.34,0,0,real
2026-04-01T10:11:00+05:30,25.36,25.36,25.36,25.36,0,0,real
2026-04-01T10:12:00+05:30,25.32,25.32,25.32,25.32,0,0,real
2026-04-01T10:13:00+05:30,25.27,25.27,25.27,25.27,0,0,real
2026-04-01T10:14:00+05:30,25.27,25.27,25.27,25.27,0,0,real
